P,C,G,t (s),EJT,% C,S
20,40,50,101.8374939,32441.51865,0.783257751,0.607932765
20,40,50,101.0911651,32460.60377,0.822342904,0.672588283
20,40,50,100.5877528,32535.28131,0.975277928,0.948384044
20,40,50,98.99688053,32512.92675,0.929497158,0.868331144
20,40,50,104.1543581,32541.05645,0.987105044,0.954746377
20,40,50,100.7792959,32547.353,1,0.996126147
20,40,50,98.68120456,32429.30638,0.758247761,0.578768721
20,40,50,107.0007186,32379.25143,0.655738303,0.415688259
20,40,50,118.461623,32533.86214,0.97237154,0.868711636
20,40,50,114.9789588,32523.5533,0.95125967,0.843896107
20,40,50,119.7808051,32500.28003,0.903597444,0.74603014
20,40,50,115.5524037,32487.13154,0.876670145,0.71496197
20,40,50,109.4272261,32505.55222,0.914394571,0.799290374
20,40,50,110.0088935,32454.41237,0.809663285,0.625021554
20,40,50,109.3286905,32502.88303,0.908928239,0.790118298
20,40,50,108.9051366,32538.551,0.98197405,0.924008231
20,40,50,109.0992601,32456.51277,0.81396478,0.634308197
20,40,50,106.8430269,32463.41758,0.828105407,0.663434648
20,50,50,139.9386764,32495.65983,0.89413555,0.675830588
20,50,50,139.2498274,32473.27377,0.848290283,0.609805942
20,50,50,138.1136851,32528.59799,0.961590887,0.786796323
20,50,50,129.6709943,32536.13387,0.977023915,0.838279735
20,50,50,126.9945602,32505.79234,0.914886316,0.742748365
20,50,50,126.9130952,32449.45281,0.799506409,0.567401763
20,50,50,128.0646574,32515.24732,0.934249543,0.771278352
20,50,50,124.4986019,32540.99631,0.986981886,0.87304399
20,50,50,127.2115326,32464.54014,0.830404347,0.611386697
20,50,50,127.347595,32506.23802,0.91579905,0.743198806
20,50,50,116.7255082,32510.82371,0.925190263,0.792280962
20,50,50,121.0925484,32462.16263,0.825535353,0.619316489
20,50,50,130.9749131,32470.83056,0.843286746,0.621378883
20,50,50,131.5344644,32542.87936,0.990838265,0.856023644
20,50,50,132.2561324,32504.81378,0.912882296,0.724638927
20,50,50,126.2334964,32436.51996,0.77302073,0.531857117
20,50,50,141.4816854,32536.10007,0.976954687,0.802414428
20,50,50,133.0952199,32538.75854,0.982399081,0.836555322
20,50,50,129.4623396,32535.51716,0.975760931,0.836787386
20,50,50,137.0442529,32503.77571,0.910756388,0.708555769
30,10,50,60.65593982,32482.25545,0.86668421,0.964461955
30,10,50,51.08512187,32381.94903,0.661262826,0.611788065
30,10,50,52.09496689,32354.2066,0.60444801,0.50619753
30,10,50,51.13993692,32127.48967,0.140145649,0.027464971
30,10,50,45.24224591,32493.94697,0.890627731,1.179289274
30,10,50,48.75415993,32237.19392,0.364813229,0.190605452
30,10,50,46.74457812,32326.7784,0.548276745,0.439677285
30,10,50,48.08341146,32288.32612,0.469528829,0.317926617
30,10,50,47.82509422,32448.64943,0.797861137,0.920506174
30,10,50,45.05338216,32440.89092,0.781972185,0.911001122
30,10,50,42.59821033,32380.39738,0.658085126,0.663542085
30,10,50,47.44285321,32438.11046,0.77627798,0.874881301
30,10,50,45.62235785,32365.1931,0.626947704,0.58193405
30,10,50,47.76122475,32376.95055,0.651026227,0.613280621
30,10,50,49.35184455,32323.79761,0.542172271,0.418430092
30,10,50,49.39137053,32193.76082,0.275864905,0.108284768
30,10,50,49.55120349,32488.81393,0.880115583,1.100404398
30,10,50,47.32674527,32457.42236,0.815827561,0.967483188
30,10,50,49.54281306,32441.46149,0.783140687,0.871343197
30,10,50,47.01739979,32323.91444,0.542411544,0.429070389
30,20,50,61.72028637,32475.4939,0.852836966,0.925801897
30,20,50,74.59099197,32484.1582,0.870580926,0.877556533
30,20,50,69.45966387,32417.76672,0.734615252,0.64752053
30,20,50,72.47273588,32493.75339,0.890231287,0.9309329
30,20,50,76.40203142,32417.59684,0.734267347,0.616816493
30,20,50,78.33630204,32512.78791,0.929212808,0.975548446
30,20,50,70.62041402,32425.24911,0.749938732,0.669247008
30,20,50,73.86406851,32341.11275,0.577632625,0.388227965
30,20,50,78.01218677,32396.36079,0.69077722,0.540250017
30,20,50,83.07706809,32325.05486,0.544747048,0.325573606
30,20,50,69.61987591,32449.03381,0.798648339,0.76444204
30,20,50,68.13793421,32457.75348,0.816505686,0.807651392
30,20,50,64.90501952,32451.8889,0.804495379,0.803355859
30,20,50,72.01952267,32504.49582,0.912231122,0.980583655
30,20,50,68.7977128,32459.32568,0.819725455,0.810120912
30,20,50,67.81344151,32458.19219,0.817404129,0.811364051
30,20,50,67.68624496,32508.22124,0.91986055,1.028475089
30,20,50,70.61283541,32504.01406,0.91124452,0.988161739
30,20,50,70.39756918,32453.1804,0.807140286,0.776460231
30,20,50,69.86750078,32484.32561,0.870923773,0.907449962
30,30,50,105.8182311,32476.12613,0.854131734,0.709201207
30,30,50,116.9971278,32479.76986,0.861593874,0.686305698
30,30,50,103.1246316,32347.2477,0.590196621,0.343014305
30,30,50,101.524343,32490.31766,0.883195119,0.774155541
30,30,50,99.1250391,32467.39059,0.836241882,0.702380012
30,30,50,100.8801849,32519.36911,0.942690707,0.884780448
30,30,50,104.8968909,32491.16259,0.884925479,0.764596122
30,30,50,97.52946496,32440.43688,0.78104234,0.617705167
30,30,50,94.2504189,32452.5522,0.805853779,0.668914868
30,30,50,95.87772965,32476.85452,0.855623444,0.747664018
30,30,50,89.41721106,32483.30745,0.868838646,0.798302888
30,30,50,88.73464942,32521.43031,0.94691192,0.951858842
30,30,50,89.5991888,32453.63737,0.808076143,0.689846605
30,30,50,88.87681437,32470.25729,0.842112723,0.752222324
30,30,50,82.16359615,32460.44665,0.82202113,0.745463258
30,30,50,83.77443004,32514.19151,0.93208731,0.949199388
30,30,50,86.84197617,32477.35714,0.856652778,0.787489562
30,30,50,86.81530833,32515.47525,0.934716326,0.937694785
30,30,50,90.16672468,32464.33858,0.829991571,0.725477949
30,30,50,85.44228268,32468.66018,0.838841932,0.76124393
30,40,50,116.5026326,32462.93648,0.82712015,0.633824952
30,40,50,121.986788,32455.19882,0.811273901,0.595907171
